2025-11-24 09:07:37.284 [info] ⬇️ Fetching config from https://files.catbox.moe/uhcn8q.enc...
2025-11-24 09:07:37.685 [info] ✅ Remote config loaded and decrypted successfully.
2025-11-24 09:07:37.687 [info] 🔒 Admin Access: Attempting to find specific model 'qwen3-max'
2025-11-24 09:07:37.687 [info] [2025-11-24T09:07:37.284510] 🚀 ATTEMPTING REQUEST
2025-11-24 09:07:37.687 [info] Source: janitorai
2025-11-24 09:07:37.687 [info] Provider: IFlow | Model: qwen3-max
2025-11-24 09:07:37.687 [info] Base URL (Config): https://apis.iflow.cn/v1
2025-11-24 09:07:37.687 [info] Target URL (Final): https://apis.iflow.cn/v1/chat/completions
2025-11-24 09:07:44.109 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.109 [info] GENERIC CHUNK: 264 bytes
2025-11-24 09:07:44.296 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.296 [info] GENERIC CHUNK: 275 bytes
2025-11-24 09:07:44.394 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.394 [info] GENERIC CHUNK: 269 bytes
2025-11-24 09:07:44.552 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.552 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:44.758 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.758 [info] GENERIC CHUNK: 269 bytes
2025-11-24 09:07:44.758 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:44.915 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.915 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:44.915 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:45.073 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.073 [info] GENERIC CHUNK: 270 bytes
2025-11-24 09:07:45.073 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:45.180 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.180 [info] GENERIC CHUNK: 277 bytes
2025-11-24 09:07:45.409 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.409 [info] GENERIC CHUNK: 272 bytes
2025-11-24 09:07:45.481 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.482 [info] GENERIC CHUNK: 267 bytes
2025-11-24 09:07:45.607 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.607 [info] GENERIC CHUNK: 275 bytes
2025-11-24 09:07:45.720 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.720 [info] GENERIC CHUNK: 271 bytes
2025-11-24 09:07:45.824 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:45.824 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:46.048 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.048 [info] GENERIC CHUNK: 282 bytes
2025-11-24 09:07:46.264 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.264 [info] GENERIC CHUNK: 279 bytes
2025-11-24 09:07:46.265 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:40.854 [info] ✅ Response Status: 200
2025-11-24 09:07:40.854 [info] 127.0.0.1 - - [24/Nov/2025 09:07:40] "POST /janitorai HTTP/1.1" 200 -
2025-11-24 09:07:40.855 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:40.855 [info] GENERIC CHUNK: 531 bytes
2025-11-24 09:07:40.911 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:40.911 [info] GENERIC CHUNK: 260 bytes
2025-11-24 09:07:40.912 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:40.999 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:40.999 [info] GENERIC CHUNK: 263 bytes
2025-11-24 09:07:41.036 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:41.036 [info] GENERIC CHUNK: 252 bytes
2025-11-24 09:07:41.037 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:41.184 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:41.184 [info] GENERIC CHUNK: 270 bytes
2025-11-24 09:07:41.427 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:41.427 [info] GENERIC CHUNK: 281 bytes
2025-11-24 09:07:41.600 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:41.600 [info] GENERIC CHUNK: 272 bytes
2025-11-24 09:07:41.600 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:41.725 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:41.725 [info] GENERIC CHUNK: 269 bytes
2025-11-24 09:07:41.726 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:41.850 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:41.850 [info] GENERIC CHUNK: 270 bytes
2025-11-24 09:07:41.850 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:42.021 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:42.022 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:42.206 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:42.206 [info] GENERIC CHUNK: 268 bytes
2025-11-24 09:07:42.438 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:42.438 [info] GENERIC CHUNK: 271 bytes
2025-11-24 09:07:42.620 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:42.620 [info] GENERIC CHUNK: 282 bytes
2025-11-24 09:07:42.620 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:42.802 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:42.802 [info] GENERIC CHUNK: 270 bytes
2025-11-24 09:07:42.912 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:42.913 [info] GENERIC CHUNK: 271 bytes
2025-11-24 09:07:43.014 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.014 [info] GENERIC CHUNK: 275 bytes
2025-11-24 09:07:43.014 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:43.174 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.174 [info] GENERIC CHUNK: 269 bytes
2025-11-24 09:07:43.174 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:43.287 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.287 [info] GENERIC CHUNK: 268 bytes
2025-11-24 09:07:43.287 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:43.458 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.458 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:43.458 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:43.669 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.669 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:43.669 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:43.769 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.769 [info] GENERIC CHUNK: 269 bytes
2025-11-24 09:07:43.769 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:43.929 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:43.929 [info] GENERIC CHUNK: 271 bytes
2025-11-24 09:07:43.929 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:44.031 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:44.031 [info] GENERIC CHUNK: 272 bytes
2025-11-24 09:07:44.031 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:46.381 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.381 [info] GENERIC CHUNK: 270 bytes
2025-11-24 09:07:46.540 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.540 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:46.540 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:46.647 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.647 [info] GENERIC CHUNK: 275 bytes
2025-11-24 09:07:46.752 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.752 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:46.977 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:46.977 [info] GENERIC CHUNK: 272 bytes
2025-11-24 09:07:46.977 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:47.082 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.082 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:47.082 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:47.181 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.181 [info] GENERIC CHUNK: 275 bytes
2025-11-24 09:07:47.269 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.269 [info] GENERIC CHUNK: 265 bytes
2025-11-24 09:07:47.269 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:47.396 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.396 [info] GENERIC CHUNK: 267 bytes
2025-11-24 09:07:47.396 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:47.559 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.559 [info] GENERIC CHUNK: 270 bytes
2025-11-24 09:07:47.559 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:47.661 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.662 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:47.757 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.757 [info] GENERIC CHUNK: 278 bytes
2025-11-24 09:07:47.921 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:47.922 [info] GENERIC CHUNK: 273 bytes
2025-11-24 09:07:48.021 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.022 [info] GENERIC CHUNK: 268 bytes
2025-11-24 09:07:48.022 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:48.169 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.169 [info] GENERIC CHUNK: 276 bytes
2025-11-24 09:07:48.251 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.251 [info] GENERIC CHUNK: 268 bytes
2025-11-24 09:07:48.477 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.477 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:48.478 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:48.558 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.558 [info] GENERIC CHUNK: 264 bytes
2025-11-24 09:07:48.558 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:48.685 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.685 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:48.686 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:48.798 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.798 [info] GENERIC CHUNK: 277 bytes
2025-11-24 09:07:48.799 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:48.950 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:48.950 [info] GENERIC CHUNK: 279 bytes
2025-11-24 09:07:49.105 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:49.106 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:49.106 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:49.269 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:49.269 [info] GENERIC CHUNK: 276 bytes
2025-11-24 09:07:49.370 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:49.370 [info] GENERIC CHUNK: 275 bytes
2025-11-24 09:07:49.544 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:49.544 [info] GENERIC CHUNK: 272 bytes
2025-11-24 09:07:49.687 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:49.687 [info] GENERIC CHUNK: 274 bytes
2025-11-24 09:07:49.840 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:49.840 [info] GENERIC CHUNK: 278 bytes
2025-11-24 09:07:49.840 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:50.051 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:50.051 [info] GENERIC CHUNK: 286 bytes
2025-11-24 09:07:50.051 [info] GENERIC CHUNK: 2 bytes
2025-11-24 09:07:50.209 [info] GENERIC CHUNK: 5 bytes
2025-11-24 09:07:50.209 [info] GENERIC CHUNK: 277 bytes
2025-11-24 09:07:50.209 [info] GENERIC CHUNK: 2 bytes
